11005	Abbotsford
11007	Acacia Gardens
11011	Alexandria
11013	Alfords Point
11015	Allambie Heights
11017	Allawah
11021	Annandale
11023	Arncliffe
11025	Artarmon
11027	Ashbury
11029	Ashcroft
11031	Ashfield
11035	Auburn
11039	Balgowlah
11041	Balgowlah Heights
11043	Balmain
11045	Balmain East
11047	Bangor
11049	Banksia
11051	Banksmeadow
11053	Bankstown
11057	Bardwell Park
11059	Bardwell Valley
11061	Bass Hill
11063	Baulkham Hills
11067	Beacon Hill
11069	Beaconsfield
11073	Beecroft
11075	Belfield
11077	Bella Vista
11079	Bellevue Hill
11081	Belmore
11085	Berala
11091	Beverley Park
11093	Beverly Hills
11095	Bexley
11097	Bexley North
11103	Birchgrove
11105	Birrong
11109	Blacktown
11115	Blakehurst
11119	Bondi
11121	Bondi Beach
11123	Bondi Junction
11125	Bonnet Bay
11127	Bonnyrigg
11129	Bonnyrigg Heights
11131	Bossley Park
11133	Botany
11139	Breakfast Point
11141	Brighton-le-sands
11143	Bronte
11145	Brookvale
11149	Burwood
11151	Burwood Heights
11153	Busby
11155	Cabarita
11157	Cabramatta
11159	Cabramatta West
11169	Cammeray
11173	Camperdown
11175	Campsie
11177	Canada Bay
11179	Canley Heights
11181	Canley Vale
11183	Canterbury
11185	Caringbah
11187	Carlingford
11189	Carlton
11191	Carramar
11193	Carss Park
11195	Cartwright
11197	Castle Cove
11201	Castlecrag
11203	Casula
11207	Centennial Park
11209	Chatswood
11211	Chatswood West
11213	Cheltenham
11217	Chester Hill
11219	Chifley
11221	Chippendale
11223	Chipping Norton
11225	Chiswick
11233	Clemton Park
11235	Clontarf
11237	Clovelly
11239	Clyde
11241	Collaroy
11245	Como
11247	Concord
11249	Concord West
11251	Condell Park
11253	Connells Point
11255	Coogee
11259	Cremorne
11261	Cremorne Point
11263	Cromer
11265	Cronulla
11267	Crows Nest
11269	Croydon
11271	Croydon Park
11273	Curl Curl
11277	Daceyville
11279	Darling Point
11281	Darlinghurst
11283	Darlington (Sydney)
11287	Dawes Point
11291	Dee Why
11295	Denistone
11297	Denistone East
11299	Denistone West
11305	Dolls Point
11307	Doonside
11309	Double Bay
11311	Dover Heights
11313	Drummoyne
11315	Dulwich Hill
11317	Dundas
11319	Dundas Valley
11325	Earlwood
11327	East Hills
11329	East Killara
11331	East Lindfield
11333	East Ryde
11337	Eastgardens
11339	Eastlakes
11341	Eastwood
11343	Edensor Park
11345	Edgecliff
11351	Elizabeth Bay
11359	Enfield
11365	Enmore (Marrickville)
11367	Epping
11369	Ermington
11373	Erskineville
11377	Fairfield
11379	Fairfield East
11381	Fairfield Heights
11383	Fairfield West
11385	Fairlight
11389	Five Dock
11391	Forest Lodge
11393	Forestville
11395	Frenchs Forest
11397	Georges Hall
11399	Girraween
11401	Gladesville
11403	Glebe
11411	Glenfield
11417	Glenwood
11419	Gordon
11421	Granville
11425	Green Valley
11427	Greenacre
11429	Greenfield Park
11431	Greenwich
11433	Greystanes
11435	Guildford
11437	Guildford West
11439	Gymea
11441	Gymea Bay
11443	Haberfield
11445	Hammondville
11447	Harbord
11451	Harris Park
11455	Haymarket
11463	Heckenberg
11465	Henley
11467	Hillsdale
11469	Hinchinbrook
11471	Holroyd
11473	Holsworthy
11475	Homebush
11477	Homebush Bay
11479	Homebush West
11487	Hoxton Park
11489	Hunters Hill
11491	Huntleys Cove
11493	Huntleys Point
11495	Hurlstone Park
11497	Hurstville
11499	Hurstville Grove
11501	Illawong
11503	Ingleburn
11509	Jannali
11511	Kangaroo Point
11513	Kareela
11523	Kensington
11525	Killara
11527	Killarney Heights
11529	Kings Langley
11531	Kings Park
11533	Kingsford
11535	Kingsgrove
11539	Kirrawee
11541	Kirribilli
11543	Kogarah
11545	Kogarah Bay
11547	Kurnell
11549	Kyeemagh
11551	Kyle Bay
11553	La Perouse
11555	Lakemba
11557	Lalor Park
11559	Lane Cove
11561	Lane Cove North
11563	Lane Cove West
11565	Lansdowne (Bankstown)
11567	Lansvale
11571	Lavender Bay
11575	Leichhardt
11585	Lewisham
11587	Liberty Grove
11589	Lidcombe
11593	Lilyfield
11597	Lindfield
11599	Linley Point
11601	Little Bay
11603	Liverpool
11607	Long Point (Campbelltown)
11609	Longueville
11611	Lugarno
11613	Lurnea
11615	Macquarie Fields
11617	Macquarie Links
11619	Macquarie Park
11621	Malabar
11623	Manly
11625	Manly Vale
11627	Marayong
11629	Maroubra
11631	Marrickville
11635	Marsfield
11637	Mascot
11639	Matraville
11641	Mays Hill
11643	McMahons Point
11645	Meadowbank
11647	Melrose Park
11651	Merrylands
11653	Merrylands West
11655	Middle Cove
11657	Miller
11659	Millers Point
11661	Milperra
11663	Milsons Point
11669	Miranda
11673	Monterey
11675	Moorebank
11677	Mortdale
11679	Mortlake
11681	Mosman
11691	Mount Lewis
11693	Mount Pritchard
11701	Naremburn
11705	Narraweena
11707	Narwee
11709	Neutral Bay
11711	Newington
11715	Newtown
11719	North Balgowlah
11721	North Bondi
11723	North Curl Curl
11725	North Epping
11727	North Manly
11731	North Parramatta
11733	North Rocks
11735	North Ryde
11739	North Strathfield
11741	North Sydney
11747	North Willoughby
11749	Northbridge
11751	Northmead
11753	Northwood
11757	Oatlands
11759	Oatley
11761	Old Guildford
11763	Old Toongabbie
11767	Oyster Bay
11769	Paddington
11771	Padstow
11773	Padstow Heights
11775	Pagewood
11779	Panania
11781	Parklea
11783	Parramatta
11785	Peakhurst
11787	Peakhurst Heights
11789	Pemulwuy
11791	Pendle Hill
11793	Pennant Hills
11797	Penshurst
11799	Petersham
11801	Phillip Bay
11803	Picnic Point
11807	Point Piper
11809	Potts Point
11811	Prairiewood
11813	Prestons
11815	Prospect
11817	Punchbowl (Canterbury and Bankstown)
11819	Putney
11821	Pymble
11823	Pyrmont
11827	Queens Park
11829	Queenscliff
11833	Ramsgate
11835	Ramsgate Beach
11837	Randwick
11839	Redfern
11841	Regents Park
11845	Revesby
11847	Revesby Heights
11849	Rhodes
11853	Riverview (Lane Cove)
11855	Riverwood
11857	Rockdale
11859	Rodd Point
11863	Rose Bay
11865	Rosebery
11867	Roselands
11871	Roseville
11873	Roseville Chase
11877	Rozelle
11881	Rushcutters Bay
11883	Russell Lea
11885	Rydalmere
11887	Ryde
11889	Sadleir
11891	Sandringham
11893	Sans Souci
11899	Seaforth
11901	Sefton
11903	Seven Hills
11907	Silverwater (Auburn)
11911	Smithfield
11913	South Coogee
11915	South Granville
11917	South Hurstville
11921	South Turramurra
11923	South Wentworthville
11937	St Johns Park
11939	St Leonards
11943	St Peters
11947	Stanmore
11949	Strathfield
11951	Strathfield South
11953	Summer Hill (Ashfield)
11955	Surry Hills
11957	Sutherland
11959	Sydenham
11961	Sydney
11963	Sylvania
11965	Sylvania Waters
11967	Tamarama
11969	Taren Point
11971	Tempe
11973	Tennyson Point
11977	The Rocks (Sydney)
11981	Toongabbie
11985	Turramurra
11987	Turrella
11989	Ultimo
11993	Vaucluse
11995	Villawood
11997	Voyager Point
12003	Wakeley
12005	Wareemba
12013	Warwick Farm
12015	Waterloo
12017	Watsons Bay
12019	Wattle Grove
12021	Waverley
12023	Waverton
12027	Wentworthville
12037	West Pennant Hills
12039	West Pymble
12041	West Ryde
12045	Westmead
12047	Wetherill Park
12051	Wiley Park
12055	Willoughby
12057	Willoughby East
12061	Winston Hills
12063	Wolli Creek
12065	Wollstonecraft
12069	Woodcroft
12073	Woodpark
12075	Woollahra
12077	Woolloomooloo
12079	Woolooware
12081	Woolwich
12083	Woronora
12087	Yagoona
12091	Yennora
12093	Yowie Bay
12095	Zetland
16091	Arndell Park
17083	Edmondson Park
18551	Pleasure Point
18739	Sandy Point
